Year_Month,Card_type,Travel_Mode,Trip
Sep-2016,Sgl Trip Rail Adult,Train,311066.0
Sep-2016,Sgl Trip Rail Child/Youth,Train,66493.0
Oct-2016,Adult,Bus,13399297.0
Oct-2016,Adult Single Bus Trip 1,Bus,183834.0
Oct-2016,Adult Single Bus Trip 2,Bus,120313.0
Oct-2016,Adult Single Bus Trip 3,Bus,49327.0
Oct-2016,Child/Youth,Bus,1180998.0
Oct-2016,Child/Youth Single Bus Trip 1,Bus,65256.0
Oct-2016,Child/Youth Single Bus Trip 2,Bus,44063.0
Oct-2016,Child/Youth Single Bus Trip 3,Bus,13664.0
Oct-2016,Concession,Bus,1722565.0
Oct-2016,Employee,Bus,71428.0
Oct-2016,Free Travel,Bus,33031.0
Oct-2016,School Student,Bus,2115831.0
Oct-2016,Senior/Pensioner,Bus,4095695.0
Oct-2016,Adult,Ferry,879150.0
Oct-2016,Child/Youth,Ferry,119399.0
Oct-2016,Concession,Ferry,24094.0
Oct-2016,Employee,Ferry,5435.0
Oct-2016,Free Travel,Ferry,2081.0
Oct-2016,School Student,Ferry,1594.0
Oct-2016,Senior/Pensioner,Ferry,187265.0
Oct-2016,Sgl Trip Ferry Adult,Ferry,52692.0
Oct-2016,Sgl Trip Ferry Child/Youth,Ferry,9442.0
Oct-2016,Adult,Light Rail,554854.0
Oct-2016,Child/Youth,Light Rail,39224.0
Oct-2016,Concession,Light Rail,26874.0
Oct-2016,Employee,Light Rail,1.0
Oct-2016,Free Travel,Light Rail,899.0
Oct-2016,School Student,Light Rail,4304.0
Oct-2016,Senior/Pensioner,Light Rail,147173.0
Oct-2016,Sgl Trip LR Adult,Light Rail,2916.0
Oct-2016,Sgl Trip LR Child/Youth,Light Rail,715.0
Oct-2016,Adult,Train,22608261.0
Oct-2016,Child/Youth,Train,1120560.0
Oct-2016,Concession,Train,2065326.0
Oct-2016,Employee,Train,289301.0
Oct-2016,Free Travel,Train,30205.0
Oct-2016,School Student,Train,759479.0
Oct-2016,Senior/Pensioner,Train,2859632.0
Oct-2016,Sgl Trip Rail Adult,Train,311836.0
Oct-2016,Sgl Trip Rail Child/Youth,Train,62233.0
Nov-2016,Adult,Bus,14203977.0
Nov-2016,Adult Single Bus Trip 1,Bus,190359.0
Nov-2016,Adult Single Bus Trip 2,Bus,122653.0
Nov-2016,Adult Single Bus Trip 3,Bus,48268.0
Nov-2016,Child/Youth,Bus,1142170.0
Nov-2016,Child/Youth Single Bus Trip 1,Bus,57618.0
Nov-2016,Child/Youth Single Bus Trip 2,Bus,33400.0
Nov-2016,Child/Youth Single Bus Trip 3,Bus,9669.0
Nov-2016,Concession,Bus,1391898.0
Nov-2016,Employee,Bus,76755.0
Nov-2016,Free Travel,Bus,36217.0
Nov-2016,School Student,Bus,2792634.0
Nov-2016,Senior/Pensioner,Bus,4316765.0
Nov-2016,Adult,Ferry,929645.0
Nov-2016,Child/Youth,Ferry,76663.0
Nov-2016,Concession,Ferry,25891.0
Nov-2016,Employee,Ferry,5914.0
Nov-2016,Free Travel,Ferry,2271.0
Nov-2016,School Student,Ferry,2150.0
Nov-2016,Senior/Pensioner,Ferry,195969.0
Nov-2016,Sgl Trip Ferry Adult,Ferry,57975.0
Nov-2016,Sgl Trip Ferry Child/Youth,Ferry,6023.0
Nov-2016,Adult,Light Rail,511961.0
Nov-2016,Child/Youth,Light Rail,28564.0
Nov-2016,Concession,Light Rail,25699.0
Nov-2016,Free Travel,Light Rail,776.0
Nov-2016,School Student,Light Rail,5599.0
Nov-2016,Senior/Pensioner,Light Rail,130118.0
Nov-2016,Sgl Trip LR Adult,Light Rail,2204.0
Nov-2016,Sgl Trip LR Child/Youth,Light Rail,344.0
Nov-2016,Adult,Train,23867512.0
Nov-2016,Child/Youth,Train,1036526.0
Nov-2016,Concession,Train,1707681.0
Nov-2016,Employee,Train,318627.0
Nov-2016,Free Travel,Train,33096.0
Nov-2016,School Student,Train,1013962.0
Nov-2016,Senior/Pensioner,Train,2969184.0
Nov-2016,Sgl Trip Rail Adult,Train,320085.0
Nov-2016,Sgl Trip Rail Child/Youth,Train,51606.0
Dec-2016,Adult,Bus,12839969.0
Dec-2016,Adult Single Bus Trip 1,Bus,190339.0
Dec-2016,Adult Single Bus Trip 2,Bus,124517.0
Dec-2016,Adult Single Bus Trip 3,Bus,51178.0
Dec-2016,Child/Youth,Bus,1311601.0
Dec-2016,Child/Youth Single Bus Trip 1,Bus,65006.0
Dec-2016,Child/Youth Single Bus Trip 2,Bus,48328.0
Dec-2016,Child/Youth Single Bus Trip 3,Bus,15754.0
Dec-2016,Concession,Bus,1038399.0
Dec-2016,Employee,Bus,71339.0
Dec-2016,Free Travel,Bus,34095.0
Dec-2016,School Student,Bus,1067910.0
Dec-2016,Senior/Pensioner,Bus,4022430.0
Dec-2016,Adult,Ferry,1050663.0
Dec-2016,Child/Youth,Ferry,144692.0
Dec-2016,Concession,Ferry,27905.0
Dec-2016,Employee,Ferry,5970.0
Dec-2016,Free Travel,Ferry,2219.0
Dec-2016,School Student,Ferry,796.0
Dec-2016,Senior/Pensioner,Ferry,187261.0
Dec-2016,Sgl Trip Ferry Adult,Ferry,70707.0
Dec-2016,Sgl Trip Ferry Child/Youth,Ferry,16773.0
Dec-2016,Adult,Light Rail,533991.0
Dec-2016,Child/Youth,Light Rail,39398.0
Dec-2016,Concession,Light Rail,24597.0
Dec-2016,Free Travel,Light Rail,752.0
Dec-2016,School Student,Light Rail,2109.0
Dec-2016,Senior/Pensioner,Light Rail,122012.0
Dec-2016,Sgl Trip LR Adult,Light Rail,2875.0
