Date,Log_Total_Trips,Log_Population,Time_Index,Population_YoY_Growth,COVID_Flag,Month
2017-07-01,17.83038442249504,16.43059071899805,12,1.3565209137599288,0,7
2017-08-01,17.93815053569412,16.43059071899805,13,1.3565209137599288,0,8
2017-09-01,17.861853857252516,16.43059071899805,14,1.3565209137599288,0,9
2017-10-01,17.89813171887239,16.43059071899805,15,1.3565209137599288,0,10
2017-11-01,17.917932262072465,16.43059071899805,16,1.3565209137599288,0,11
2017-12-01,17.785808546969637,16.43059071899805,17,1.3565209137599288,0,12
2018-01-01,17.744066321075366,16.446458091901864,18,1.599392814562628,0,1
2018-02-01,17.838552350795343,16.446458091901864,19,1.599392814562628,0,2
2018-03-01,17.978396852147412,16.446458091901864,20,1.599392814562628,0,3
2018-04-01,17.856611047073716,16.446458091901864,21,1.599392814562628,0,4
2018-05-01,18.001124312855687,16.446458091901864,22,1.599392814562628,0,5
2018-06-01,17.880282066343277,16.446458091901864,23,1.599392814562628,0,6
2018-07-01,17.8877998305505,16.446458091901864,24,1.599392814562628,0,7
2018-08-01,17.984508980220955,16.446458091901864,25,1.599392814562628,0,8
2018-09-01,17.90055024714715,16.446458091901864,26,1.599392814562628,0,9
2018-10-01,17.94051019832051,16.446458091901864,27,1.599392814562628,0,10
2018-11-01,17.96738819161118,16.446458091901864,28,1.599392814562628,0,11
2018-12-01,17.819616687302936,16.446458091901864,29,1.599392814562628,0,12
2019-01-01,17.808393125042194,16.462217837667996,30,1.5884585511461768,0,1
2019-02-01,17.91131477104422,16.462217837667996,31,1.5884585511461768,0,2
2019-03-01,18.02887164663196,16.462217837667996,32,1.5884585511461768,0,3
2019-04-01,17.903013586844104,16.462217837667996,33,1.5884585511461768,0,4
2019-05-01,18.041606600539787,16.462217837667996,34,1.5884585511461768,0,5
2019-06-01,17.912574918180336,16.462217837667996,35,1.5884585511461768,0,6
2019-07-01,17.969307070378406,16.462217837667996,36,1.5884585511461768,0,7
2019-08-01,18.006068981467614,16.462217837667996,37,1.5884585511461768,0,8
2019-09-01,17.960993762615928,16.462217837667996,38,1.5884585511461768,0,9
2019-10-01,18.00832106280591,16.462217837667996,39,1.5884585511461768,0,10
2019-11-01,17.997278553935622,16.462217837667996,40,1.5884585511461768,0,11
2019-12-01,17.88520507210679,16.462217837667996,41,1.5884585511461768,0,12
2020-01-01,17.86028262507588,16.474971454723367,42,1.2835291273938454,0,1
2020-02-01,17.91466793664947,16.474971454723367,43,1.2835291273938454,0,2
2020-03-01,17.623245694465563,16.474971454723367,44,1.2835291273938454,1,3
2020-04-01,16.315852550892945,16.474971454723367,45,1.2835291273938454,1,4
2020-05-01,16.758384998088058,16.474971454723367,46,1.2835291273938454,1,5
2020-06-01,17.15106480863196,16.474971454723367,47,1.2835291273938454,1,6
2020-07-01,17.248890255373713,16.474971454723367,48,1.2835291273938454,1,7
2020-08-01,17.209241300189948,16.474971454723367,49,1.2835291273938454,1,8
2020-09-01,17.27347644598085,16.474971454723367,50,1.2835291273938454,1,9
2020-10-01,17.325639292250607,16.474971454723367,51,1.2835291273938454,1,10
